A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
        63,  2000/1/1,    0:1:23,      0.00,    0,              0,              0,       411,       134,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1,     26.99,49.01,101.92,101.92
        64,  2000/1/1,    0:1:24,      0.00,    0,              0,              0,       411,       134,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.00,47.41,101.92,101.92
        65,  2000/1/1,    0:1:25,      0.00,    0,              0,              0,       420,       137,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.00,45.84,101.92,101.92
        66,  2000/1/1,    0:1:26,      0.00,    0,              0,              0,       420,       137,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.01,45.01,101.92,101.92
        67,  2000/1/1,    0:1:27,      0.00,    0,              0,              0,       402,       131,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.01,44.81,101.92,101.92
        68,  2000/1/1,    0:1:28,      0.00,    0,              0,              0,       393,       128,         6,         0,         0,         0,         0,         1,         1,         0,         1,         1,     27.02,44.20,101.92,101.92
        69,  2000/1/1,    0:1:29,      0.00,    0,              0,              0,       393,       128,         6,         0,         0,         0,         0,         1,         1,         0,         1,         1,     27.02,45.65,101.92,101.92
        70,  2000/1/1,    0:1:33,      0.00,    0,              0,              0,       423,       135,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.03,46.56,101.92,101.92
        71,  2000/1/1,    0:1:34,      0.00,    0,              0,              0,       423,       135,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.04,49.31,101.92,101.92
        72,  2000/1/1,    0:1:35,      0.00,    0,              0,              0,       393,       128,         9,         0,         0,         0,         0,         1,         1,         0,         1,         1,     27.04,49.74,101.92,101.92
        73,  2000/1/1,    0:1:36,      0.00,    0,              0,              0,       393,       128,         9,         0,         0,         0,         0,         1,         1,         0,         1,         1,     27.05,49.36,101.92,101.92
        74,  2000/1/1,    0:1:37,      0.00,    0,              0,              0,       441,       144,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.06,49.74,101.92,101.92
        75,  2000/1/1,    0:1:38,      0.00,    0,              0,              0,       471,       154,         9,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.07,49.74,101.92,101.92
        76,  2000/1/1,    0:1:39,      0.00,    0,              0,              0,       471,       154,         9,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.07,49.70,101.92,101.92
        77,  2000/1/1,    0:1:40,      0.00,    0,              0,              0,       432,       141,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.08,49.97,101.92,101.92
        78,  2000/1/1,    0:1:41,      0.00,    0,              0,              0,       432,       141,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.09,48.76,101.92,101.92
        79,  2000/1/1,    0:1:42,      0.00,    0,              0,              0,       453,       148,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.09,48.22,101.92,101.92
        80,  2000/1/1,    0:1:43,      0.00,    0,              0,              0,       453,       144,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.10,47.66,101.92,101.92
