A5A5A5A5A5A5,,,,,,,,,,,,,,,,,,,,,,
Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
131,  2000/1/1,    0:2:41,0,0,0,0,330,106,0,0,0,0,0,0,0,0,0,0,27.14,37.83,101.85,101.85
132,  2000/1/1,    0:2:42,0,0,0,0,354,110,3,3,3,3,0,0,3,0,0,3,27.15,38.04,101.85,101.85
133,  2000/1/1,    0:2:43,0,0,0,0,354,110,3,3,3,3,0,0,3,0,0,3,27.15,37.69,101.85,101.85
134,  2000/1/1,    0:2:44,0,0,0,0,402,126,6,3,3,3,1,1,3,1,1,3,27.16,37.35,101.84,101.84
135,  2000/1/1,    0:2:45,0,0,0,0,426,134,6,3,3,3,1,1,4,1,1,4,27.17,37.63,101.84,101.84
136,  2000/1/1,    0:2:46,0,0,0,0,426,134,6,3,3,3,1,1,4,1,1,4,27.18,38,101.84,101.84
137,  2000/1/1,    0:2:47,0,0,0,0,495,161,6,3,3,3,2,2,4,2,2,4,27.18,37.82,101.84,101.84
138,  2000/1/1,    0:2:48,0,0,0,0,495,161,6,3,3,3,2,2,4,2,2,4,27.19,37.94,101.83,101.83
139,  2000/1/1,    0:2:49,0,0,0,0,588,192,17,6,3,3,2,4,6,2,4,6,27.2,37.5,101.83,101.83
140,  2000/1/1,    0:2:50,0,0,0,0,648,208,17,6,3,3,3,4,7,3,4,7,27.2,38.32,101.83,101.83
141,  2000/1/1,    0:2:51,0,0,0,0,636,204,17,6,3,3,3,4,7,3,4,7,27.21,38.75,101.83,101.83
142,  2000/1/1,    0:2:52,0,0,0,0,648,208,28,6,3,3,3,4,7,3,4,7,27.21,38.18,101.83,101.83
