dt,S1,S2,S3,S5,S6,network_min,network_max,network_mean,network_range
2025-07-04 20:02:20,4.0,3.0,1.0,1.5,8.0,1.0,8.0,3.5,7.0
2025-07-04 20:02:21,4.0,3.0,1.0,1.5,8.0,1.0,8.0,3.5,7.0
2025-07-04 20:02:22,4.0,3.0,1.0,1.5,9.0,1.0,9.0,3.7,8.0
2025-07-04 20:02:23,4.0,2.0,1.0,2.0,6.0,1.0,6.0,3.0,5.0
2025-07-04 20:02:24,4.0,2.0,1.0,3.0,6.0,1.0,6.0,3.2,5.0
2025-07-04 20:02:25,5.0,2.0,1.0,2.0,6.0,1.0,6.0,3.2,5.0
2025-07-04 20:02:26,10.0,1.0,2.0,2.0,6.0,1.0,10.0,4.2,9.0
2025-07-04 20:02:27,10.0,1.0,2.0,2.0,6.0,1.0,10.0,4.2,9.0
2025-07-04 20:02:28,8.0,1.0,1.0,1.5,6.0,1.0,8.0,3.5,7.0
2025-07-04 20:02:29,9.0,1.0,2.0,1.5,6.0,1.0,9.0,3.9,8.0
2025-07-04 20:02:30,9.0,1.0,2.0,1.5,7.0,1.0,9.0,4.1,8.0
2025-07-04 20:02:31,9.0,2.0,3.0,2.0,5.0,2.0,9.0,4.2,7.0
2025-07-04 20:02:32,9.0,3.0,3.0,1.5,5.0,1.5,9.0,4.3,7.5
2025-07-04 20:02:33,8.0,3.0,3.0,1.5,5.0,1.5,8.0,4.1,6.5
2025-07-04 20:02:34,8.0,3.0,3.0,2.0,5.0,2.0,8.0,4.2,6.0
2025-07-04 20:02:35,8.0,3.0,3.0,2.0,4.0,2.0,8.0,4.0,6.0
2025-07-04 20:02:36,4.0,2.0,3.0,1.5,4.0,1.5,4.0,2.9,2.5
2025-07-04 20:02:37,4.0,2.0,3.0,1.5,4.0,1.5,4.0,2.9,2.5
2025-07-04 20:02:38,4.0,2.0,3.0,1.5,4.0,1.5,4.0,2.9,2.5
2025-07-04 20:02:39,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0
2025-07-04 20:02:40,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0
2025-07-04 20:02:41,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0
2025-07-04 20:02:42,3.0,3.0,3.0,2.0,5.0,2.0,5.0,3.2,3.0
2025-07-04 20:02:43,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0
2025-07-04 20:02:44,3.0,2.0,3.0,2.0,4.0,2.0,4.0,2.8,2.0
2025-07-04 20:02:45,3.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0
2025-07-04 20:02:46,3.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0
2025-07-04 20:02:47,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.8,2.0
2025-07-04 20:02:48,2.0,2.0,4.0,1.5,3.0,1.5,4.0,2.5,2.5
2025-07-04 20:02:49,2.0,2.0,4.0,1.5,4.0,1.5,4.0,2.7,2.5
2025-07-04 20:02:50,4.0,2.0,5.0,1.5,4.0,1.5,5.0,3.3,3.5
2025-07-04 20:02:51,4.0,2.0,5.0,1.5,4.0,1.5,5.0,3.3,3.5
2025-07-04 20:02:52,6.0,2.0,5.0,1.5,4.0,1.5,6.0,3.7,4.5
2025-07-04 20:02:53,7.0,3.0,4.0,1.5,4.0,1.5,7.0,3.9,5.5
2025-07-04 20:02:54,7.0,3.0,4.0,1.5,4.0,1.5,7.0,3.9,5.5
2025-07-04 20:02:55,6.0,4.0,4.0,1.5,3.0,1.5,6.0,3.7,4.5
2025-07-04 20:02:56,6.0,4.0,4.0,2.0,3.0,2.0,6.0,3.8,4.0
2025-07-04 20:02:57,6.0,4.0,4.0,2.0,4.0,2.0,6.0,4.0,4.0
2025-07-04 20:02:58,6.0,4.0,4.0,2.0,5.0,2.0,6.0,4.2,4.0
2025-07-04 20:02:59,5.0,4.0,3.0,2.0,4.0,2.0,5.0,3.6,3.0
2025-07-04 20:03:00,5.0,4.0,3.0,2.0,4.0,2.0,5.0,3.6,3.0
2025-07-04 20:03:01,5.0,4.0,3.0,2.0,5.0,2.0,5.0,3.8,3.0
2025-07-04 20:03:02,6.0,4.0,3.0,2.0,4.0,2.0,6.0,3.8,4.0
2025-07-04 20:03:03,6.0,4.0,3.0,2.0,4.0,2.0,6.0,3.8,4.0
2025-07-04 20:03:04,5.0,4.0,3.0,2.0,4.0,2.0,5.0,3.6,3.0
2025-07-04 20:03:05,5.0,4.0,3.0,2.0,4.0,2.0,5.0,3.6,3.0
2025-07-04 20:03:06,5.0,4.0,3.0,2.0,5.0,2.0,5.0,3.8,3.0
2025-07-04 20:03:07,5.0,4.0,3.0,2.5,4.0,2.5,5.0,3.7,2.5
2025-07-04 20:03:08,5.0,4.0,3.0,2.0,4.0,2.0,5.0,3.6,3.0
2025-07-04 20:03:09,5.0,4.0,2.0,2.0,4.0,2.0,5.0,3.4,3.0
2025-07-04 20:03:10,5.0,3.0,2.0,1.5,4.0,1.5,5.0,3.1,3.5
2025-07-04 20:03:11,5.0,3.0,2.0,1.5,4.0,1.5,5.0,3.1,3.5
2025-07-04 20:03:12,5.0,4.0,2.0,1.5,4.0,1.5,5.0,3.3,3.5
2025-07-04 20:03:13,5.0,4.0,2.0,1.0,3.0,1.0,5.0,3.0,4.0
2025-07-04 20:03:14,4.0,4.0,2.0,1.0,3.0,1.0,4.0,2.8,3.0
2025-07-04 20:03:15,4.0,4.0,2.0,1.0,3.0,1.0,4.0,2.8,3.0
2025-07-04 20:03:16,4.0,3.0,3.0,1.0,3.0,1.0,4.0,2.8,3.0
2025-07-04 20:03:17,4.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0
2025-07-04 20:03:18,4.0,4.0,2.0,1.0,2.0,1.0,4.0,2.6,3.0
