sigma0,K,tau,wrmse,scale
50.0,57.142857142857146,2440.0,6.877139361404595,2629469.2084219605
50.0,57.142857142857146,2605.714285714286,6.84570404926862,2582200.1450041635
50.0,57.142857142857146,2771.4285714285716,6.817676307211106,2539376.3802025635
50.0,57.142857142857146,2937.1428571428573,6.792575091857978,2500441.760665719
50.0,57.142857142857146,3102.857142857143,6.7699980714605665,2464921.6875503543
50.0,57.142857142857146,3268.571428571429,6.74960793396873,2432410.31253554
50.0,57.142857142857146,3434.2857142857147,6.731120944734216,2402559.659200514
50.0,57.142857142857146,3600.0,6.7142975207136075,2375070.4655679455
50.0,104.28571428571429,120.0,7.944777127009154,2483400.572999453
50.0,104.28571428571429,285.7142857142857,7.895843691889062,2969928.4838622697
50.0,104.28571428571429,451.42857142857144,7.804438597249165,3063735.730235963
50.0,104.28571428571429,617.1428571428571,7.6909721814947485,3110584.9783789394
50.0,104.28571428571429,782.8571428571429,7.569266994080572,3132481.374147768
50.0,104.28571428571429,948.5714285714287,7.4487261955186925,3134195.620863815
50.0,104.28571428571429,1114.2857142857142,7.334803324261263,3121242.966879196
50.0,104.28571428571429,1280.0,7.2300375849575484,3098781.6681741504
50.0,104.28571428571429,1445.7142857142858,7.1351672500905545,3070778.856956987
50.0,104.28571428571429,1611.4285714285716,7.049950482102832,3039995.1385993366
50.0,104.28571428571429,1777.1428571428573,6.973677379391825,3008243.0821494916
50.0,104.28571428571429,1942.857142857143,6.9054607248813,2976662.9877144815
50.0,104.28571428571429,2108.5714285714284,6.844389542726566,2945941.903107798
50.0,104.28571428571429,2274.285714285714,6.789603690738599,2916469.895883392
50.0,104.28571428571429,2440.0,6.740325176873363,2888446.2027896764
50.0,104.28571428571429,2605.714285714286,6.695866799427766,2861949.560129837
50.0,104.28571428571429,2771.4285714285716,6.655629580171788,2836984.175734814
50.0,104.28571428571429,2937.1428571428573,6.619095199046287,2813509.52859829
50.0,104.28571428571429,3102.857142857143,6.585816690636501,2791459.555253226
50.0,104.28571428571429,3268.571428571429,6.555409041173205,2770754.9084927477
50.0,104.28571428571429,3434.2857142857147,6.527540448648475,2751310.7049588747
50.0,104.28571428571429,3600.0,6.501924545560755,2733041.3391719363
50.0,151.42857142857144,120.0,7.944346009573102,2093910.2348042738
50.0,151.42857142857144,285.7142857142857,7.899039100632256,2507253.661789435
50.0,151.42857142857144,451.42857142857144,7.813345982348557,2741786.175012686
50.0,151.42857142857144,617.1428571428571,7.705585585910163,2891637.4035653723
