sigma0,K,tau,wrmse,scale
50.0,481.42857142857144,782.8571428571429,16.21107878985228,343660.2349026892
50.0,481.42857142857144,948.5714285714287,16.210414231378248,363729.3717882067
50.0,481.42857142857144,1114.2857142857142,16.209786316001512,379883.78976685397
50.0,481.42857142857144,1280.0,16.209203662951833,393014.4706706549
50.0,481.42857142857144,1445.7142857142858,16.208668363019278,403797.14658019115
50.0,481.42857142857144,1611.4285714285716,16.208179060764046,412741.9702198145
50.0,481.42857142857144,1777.1428571428573,16.207732744561905,420234.8830406901
50.0,481.42857142857144,1942.857142857143,16.207325745878375,426569.57083189907
50.0,481.42857142857144,2108.5714285714284,16.206954275776244,431971.2892966196
50.0,481.42857142857144,2274.285714285714,16.206614697829508,436614.3531103519
50.0,481.42857142857144,2440.0,16.206303653964298,440634.91236481746
50.0,481.42857142857144,2605.714285714286,16.206018110073437,444140.29850033444
50.0,481.42857142857144,2771.4285714285716,16.205755359298458,447215.8936462417
50.0,481.42857142857144,2937.1428571428573,16.205513004239446,449930.2138389928
50.0,481.42857142857144,3102.857142857143,16.205288929863613,452338.7000082411
50.0,481.42857142857144,3268.571428571429,16.2050812734916,454486.5688285199
50.0,481.42857142857144,3434.2857142857147,16.204888395192132,456410.97483037936
50.0,481.42857142857144,3600.0,16.20470885020433,458142.66404973617
50.0,528.5714285714286,120.0,16.213334044425896,225531.49759141842
50.0,528.5714285714286,285.7142857142857,16.212969259832956,255917.73282073985
50.0,528.5714285714286,451.42857142857144,16.212404492985762,296333.8061439192
50.0,528.5714285714286,617.1428571428571,16.211751299650874,329313.9742511973
50.0,528.5714285714286,782.8571428571429,16.211077288940384,355691.68875378626
50.0,528.5714285714286,948.5714285714287,16.210420392534946,376861.01761269575
50.0,528.5714285714286,1114.2857142857142,16.20979997408372,393984.073501144
50.0,528.5714285714286,1280.0,16.209224256632847,407966.3808877266
50.0,528.5714285714286,1445.7142857142858,16.208695177996354,419499.17847647925
50.0,528.5714285714286,1611.4285714285716,16.208211359225725,429106.924764614
50.0,528.5714285714286,1777.1428571428573,16.207769828431406,437188.0691053857
50.0,528.5714285714286,1942.857142857143,16.207366983611752,444046.97532146564
50.0,528.5714285714286,2108.5714285714284,16.206999110027162,449917.91660066723
50.0,528.5714285714286,2274.285714285714,16.206662643633702,454982.79056806443
50.0,528.5714285714286,2440.0,16.206354292668838,459384.120225725
50.0,528.5714285714286,2605.714285714286,16.206071081755233,463234.60120821
50.0,528.5714285714286,2771.4285714285716,16.20581035505427,466624.14338225825
50.0,528.5714285714286,2937.1428571428573,16.205569758994354,469625.09796686267
50.0,528.5714285714286,3102.857142857143,16.20534721595608,472296.1672429532
